item,user,board,
258,-1,1,
258,-1,1,
254,-1,1,
255,-1,1,
254,-1,1,
254,-1,1,
258,-1,1,
260,-1,1,
261,124,1,
259,124,1,
257,-1,1,
261,-1,1,
262,-1,1,
258,125,1,
259,127,1,
258,127,1,
258,127,1,
258,127,1,
254,-1,1,
256,-1,1,
256,-1,1,
254,-1,1,
259,-1,1,
258,-1,1,
255,116,1,
257,116,1,
257,-1,1,
263,-1,1,
264,-1,1,
262,-1,1,
258,-1,1,
258,-1,1,
258,-1,1,
262,-1,1,
256,-1,1,
263,116,1,
262,116,1,
259,116,1,
256,116,1,
257,116,1,
265,-1,1,
265,129,1,
263,-1,1,
265,131,1,
257,131,1,
263,-1,2,
263,-1,2,
265,-1,2,
260,-1,4,
260,-1,4,
263,-1,2,
265,-1,2,
256,-1,1,
257,-1,1,
258,-1,1,
259,-1,1,
260,-1,1,
262,-1,1,
265,-1,1,
263,-1,1,
264,-1,1,
265,-1,2,
263,154,2,
265,154,2,
264,154,2,
260,154,2,
265,-1,2,
265,-1,2,
265,-1,2,
265,-1,2,
257,-1,2,
256,-1,2,
259,-1,2,
257,-1,2,
257,-1,4,
259,127,2,
265,127,2,
256,-1,2,
268,-1,1,
266,-1,1,
259,-1,1,
266,-1,1,
272,127,11,
273,127,11,
274,127,11,
268,127,11,
266,127,11,
274,-1,11,
268,-1,11,
276,-1,11,
272,154,1,
268,154,1,
260,154,1,
258,-1,1,
259,-1,1,
258,-1,1,
259,-1,1,
258,127,1,
260,127,1,
268,127,1,
268,127,1,
266,127,1,
266,131,1,
271,127,1,
266,-1,11,
271,-1,11,
266,-1,11,
271,-1,11,
275,-1,11,
275,-1,11,
276,-1,11,
268,-1,11,
257,-1,11,
268,-1,11,
272,-1,11,
274,-1,11,
266,-1,11,
273,-1,11,
274,131,11,
272,-1,11,
273,-1,11,
274,-1,11,
276,-1,11,
268,-1,11,
273,127,11,
266,-1,11,
273,-1,11,
283,127,15,
284,127,15,
277,127,15,
278,127,15,
282,-1,15,
284,-1,15,
281,-1,15,
277,-1,15,
284,-1,15,
283,131,15,
284,-1,15,
285,-1,15,
280,-1,15,
281,-1,15,
282,-1,15,
277,-1,15,
272,131,1,
292,-1,3,
298,-1,3,
302,-1,3,
305,-1,3,
292,-1,3,
295,-1,3,
299,127,3,
301,127,3,
305,127,3,
294,127,3,
296,127,3,
297,127,3,
300,127,3,
305,127,3,
291,127,3,
305,127,3,
292,127,3,
296,127,3,
295,127,3,
292,-1,3,
298,127,3,
292,-1,3,
297,127,3,
297,-1,3,
296,-1,3,
297,-1,3,
297,-1,3,
297,-1,3,
294,-1,3,
294,-1,3,
300,-1,3,
300,-1,3,
297,-1,3,
294,-1,3,
297,127,3,
297,-1,3,
297,-1,3,
297,116,3,
301,116,3,
301,116,3,
294,116,3,
296,-1,3,
296,-1,3,
300,-1,3,
297,-1,3,
294,-1,3,
302,127,3,
288,-1,1,
302,-1,3,
302,-1,3,
302,-1,3,
291,-1,3,
302,-1,3,
302,-1,3,
301,-1,3,
302,-1,3,
294,-1,3,
302,116,3,
305,-1,3,
301,-1,3,
302,-1,3,
301,127,3,
301,127,3,
301,-1,3,
301,-1,3,
302,-1,3,
302,-1,3,
302,-1,3,
301,-1,3,
288,127,1,
298,127,3,
299,131,3,
301,-1,3,
274,154,1,
302,-1,3,
302,-1,3,
305,-1,3,
291,-1,17,
292,-1,17,
295,-1,17,
299,-1,17,
296,-1,17,
299,131,17,
300,131,17,
305,131,17,
305,131,17,
294,131,17,
294,129,17,
294,129,17,
297,129,17,
266,205,1,
302,131,17,
291,131,17,
292,131,17,
294,131,17,
296,131,17,
298,131,17,
295,-1,17,
298,-1,17,
301,-1,17,
297,131,17,
285,131,15,
283,131,15,
294,-1,17,
278,-1,15,
273,127,11,
307,127,11,
286,127,11,
278,127,15,
281,127,15,
282,127,15,
294,-1,17,
298,-1,17,
302,-1,17,
301,-1,17,
299,-1,17,
285,-1,15,
281,-1,15,
279,-1,15,
282,-1,15,
280,-1,15,
291,-1,17,
294,-1,17,
305,-1,17,
294,-1,17,
298,-1,17,
300,-1,17,
305,-1,17,
297,-1,17,
291,-1,17,
299,-1,17,
282,116,15,
282,116,15,
285,116,15,
281,116,15,
277,131,15,
305,131,17,
294,-1,17,
299,-1,17,
302,-1,17,
294,-1,17,
294,-1,17,
299,127,17,
299,127,17,
302,127,17,
291,127,17,
294,127,17,
302,-1,17,
302,-1,17,
302,-1,17,
300,-1,17,
302,-1,17,
297,-1,17,
294,-1,17,
321,127,18,
313,127,18,
309,127,18,
312,127,18,
310,127,18,
314,127,18,
323,127,18,
319,127,18,
316,127,18,
311,127,18,
320,127,18,
317,127,18,
322,127,18,
315,127,18,
318,127,18,
300,-1,17,
300,-1,17,
309,127,18,
300,-1,17,
300,-1,17,
305,-1,17,
313,127,18,
309,127,18,
312,127,18,
310,127,18,
311,127,18,
325,127,17,
324,127,17,
313,127,18,
309,127,18,
312,127,18,
310,127,18,
311,127,18,
300,-1,3,
326,127,17,
326,127,17,
325,127,17,
300,-1,17,
282,223,15,
324,225,17,
324,225,17,
311,127,18,
317,-1,18,
316,-1,18,
318,-1,18,
317,-1,18,
321,-1,18,
321,-1,18,
306,116,11,
359,-1,16,
363,131,16,
365,131,16,
363,-1,16,
366,-1,16,
356,-1,16,
356,-1,16,
366,-1,16,
365,-1,16,
327,-1,11,
268,-1,11,
273,-1,11,
326,-1,17,
325,-1,17,
325,-1,17,
365,-1,16,
356,-1,16,
324,-1,17,
300,127,3,
357,-1,16,
357,-1,16,
360,-1,16,
363,-1,16,
364,-1,16,
365,-1,16,
366,-1,16,
358,-1,16,
358,-1,16,
359,-1,16,
360,-1,16,
360,-1,16,
359,236,16,
363,236,16,
359,236,16,
363,236,16,
363,127,16,
364,127,16,
365,127,16,
357,127,16,
366,127,16,
357,127,16,
358,127,16,
364,127,16,
365,-1,16,
365,-1,16,
310,-1,18,
