user_id,item_id,answer,prediction
907,693,1,1.04926
907,782,1,1.0816
907,783,1,1.16332
907,367,1,1.17469
907,785,1,1.08107
907,621,1,1.27521
907,875,1,1.09438
907,823,1,1.24034
907,824,2,1.16494
907,517,1,1.04924
907,418,1,1.5244
908,621,1,1.14553
908,824,1,1.25007
908,418,1,1.31468
471,416,1,1.09546
471,417,1,1.14252
593,439,1,1.25182
231,363,1,1.17648
231,364,1,1.27641
231,365,1,1.14739
231,387,1,1.12371
231,366,2,1.10152
231,388,1,1.14728
231,356,1,1.15347
231,389,1,1.16269
231,357,1,1.17158
231,359,1,1.17818
231,393,1,1.18609
231,383,1,1.15546
475,496,1,1.24651
475,266,1,1.244
475,367,1,1.27761
236,363,1,1.15735
236,359,1,1.15916
116,297,1,1.0592
116,255,1,1.12762
116,256,1,1.10058
116,257,1,1.08635
116,259,1,1.09924
116,306,1,1.10051
116,281,1,1.11304
116,282,1,1.10169
116,262,1,1.11353
116,263,1,1.07265
116,285,1,1.1336
118,819,1,1.15669
118,292,1,1.07545
118,282,1,1.09563
118,294,1,1.29113
118,284,1,1.14796
118,296,1,1.1066
118,297,1,1.09208
118,385,1,1.10312
118,277,1,1.11437
118,300,1,1.07563
118,301,1,1.09282
118,258,1,1.12137
118,434,1,1.07571
118,259,1,1.10528
118,820,1,1.20538
118,678,1,1.18942
118,821,1,1.33352
118,823,2,1.26487
118,824,2,1.25101
239,398,4,1.38509
239,394,1,1.28643
119,819,1,1.14292
119,385,1,1.09603
119,594,1,1.47954
119,266,1,1.36367
119,367,2,1.05934
119,643,1,1.2331
119,786,1,1.40967
119,402,1,1.11359
119,820,1,1.35135
119,513,2,1.14758
119,821,1,1.28885
119,437,1,1.14125
119,823,2,1.17683
119,516,1,1.21948
119,637,1,1.1893
119,824,1,1.67152
119,418,1,1.24525
916,819,2,1.20919
916,327,3,1.08956
916,823,1,1.82109
916,307,1,1.70585
917,820,1,1.1319
917,823,1,1.32759
241,363,1,1.15628
241,356,1,1.1838
121,258,1,1.20269
242,396,1,1.33344
242,397,1,1.379
242,398,3,1.90189
242,399,2,1.34434
242,421,1,1.44941
242,400,1,1.42683
242,324,1,1.34114
242,325,1,1.31894
242,438,1,1.1405
242,394,1,1.21927
242,395,3,1.30417
244,266,2,1.48855
244,367,1,1.23498
244,347,2,1.24302
244,418,2,1.77063
124,261,1,1.20843
487,422,1,1.13335
487,423,1,1.1224
487,438,1,1.08376
487,416,1,1.10049
487,417,1,1.10123
366,353,1,1.12
366,347,1,1.17434
125,258,1,1.18297
488,421,1,1.16158
488,422,1,1.12228
488,423,1,1.14522
488,416,1,1.09875
488,438,1,1.13514
488,417,1,1.14518
247,364,1,1.29598
126,590,2,1.23351
126,670,1,1.27775
126,671,1,1.2088
126,353,1,1.28543
126,674,1,1.31465
126,675,1,1.26087
126,676,1,1.19954
126,1014,1,1.2147
126,1013,1,1.21434
126,437,1,1.20867
126,514,1,1.22342
126,515,1,1.28807
126,636,1,1.27095
126,517,1,1.19513
126,638,2,1.07278
126,639,1,1.71197
126,680,1,1.16545
126,682,1,1.30509
126,640,2,1.15337
126,641,1,1.76955
126,642,1,1.2741
126,643,1,1.43449
126,644,1,1.26162
126,765,1,1.22125
126,689,1,1.17074
126,603,1,1.27333
126,570,1,1.14857
126,692,1,1.18574
126,452,1,1.22326
126,455,1,1.26741
126,610,1,1.26062
126,458,1,1.30512
126,579,1,1.27065
126,459,1,1.27778
126,613,1,1.26623
126,416,1,1.17849
126,417,1,1.23059
126,617,1,1.23451
126,460,1,1.22713
126,461,1,1.24746
126,1008,1,1.26094
126,266,1,1.86651
126,1006,1,1.24081
126,421,1,1.31573
126,422,1,1.17162
126,664,1,1.128
126,785,1,1.18384
126,621,1,1.52803
126,786,4,1.21712
126,863,1,1.2434
126,820,1,1.93997
126,667,1,1.25983
126,823,4,1.14393
126,868,1,1.27168
126,824,1,1.80976
127,291,1,1.14691
127,271,1,1.16526
127,272,1,1.15887
127,294,2,1.29344
127,273,1,1.12734
127,274,1,1.16376
127,297,1,1.1187
127,299,1,1.17592
127,278,1,1.16439
127,311,1,1.19042
127,258,1,1.13434
127,357,1,1.12266
127,379,1,1.14633
127,1014,1,1.14901
127,259,1,1.12813
127,358,1,1.12905
127,1013,1,1.13829
127,416,1,1.17478
127,1010,1,1.18236
127,281,1,1.17629
127,260,1,1.12342
127,282,1,1.16925
127,286,1,1.18588
