user_id,item_id,answer,prediction
134,610,1,1.55858
134,611,1,1.36579
134,614,1,1.64356
134,615,3,1.4737
134,626,1,1.76732
125,605,3,2.4214
125,607,1,1.79136
125,618,2,1.45113
147,379,5,1.81702
147,390,1,2.44907
147,391,3,2.44983
147,394,3,1.85875
147,395,1,2.41937
137,393,2,1.7526
137,394,2,1.93573
70,620,1,2.41898
70,621,1,2.1886
70,611,1,2.12085
70,605,5,2.30818
70,606,4,2.0441
70,607,2,1.9032
70,618,1,2.50251
70,608,1,2.12279
70,619,4,1.91709
70,609,2,1.91515
150,394,1,1.84467
75,607,1,1.44466
75,608,1,1.39341
75,609,1,1.65656
130,621,1,1.29409
130,610,1,1.49966
130,605,2,2.34221
130,607,1,1.32589
98,606,1,1.9739
98,607,1,1.33108
98,608,1,1.58286
76,394,1,1.82232
76,395,1,1.55584
