user_id,item_id,answer,prediction
590,682,1,1.51111
590,126,2,1.12092
590,555,1,1.23132
350,555,1,1.11217
350,578,1,1.15971
350,579,1,1.182
350,131,1,1.16402
593,620,1,1.63928
594,562,1,1.44858
594,620,2,1.10181
594,555,1,1.75038
594,646,17,1.07933
594,119,1,1.03225
594,271,1,1.29376
594,670,10,32.7829
353,561,1,1.07851
353,562,1,1.08619
353,541,2,1.11255
353,673,1,1.11561
353,553,1,1.11825
353,366,1,1.10443
353,620,2,1.7266
353,555,1,1.15551
353,126,1,1.07311
353,559,1,1.11275
353,670,1,1.43827
595,673,1,1.17427
595,620,1,1.49962
356,231,1,1.11024
356,241,1,1.41709
357,231,1,1.14807
357,127,1,1.11817
358,127,1,1.11523
479,267,1,1.10784
479,500,1,1.11289
479,216,1,1.28076
479,613,1,1.14736
479,519,1,1.09744
479,131,1,1.16191
359,231,1,1.16256
359,236,1,1.27639
910,131,1,1.20441
913,620,1,1.49921
480,497,1,1.69755
480,500,1,1.69082
480,216,6,1.11993
480,507,1,1.72
480,285,1,1.51796
481,585,1,1.15548
481,267,1,1.07013
481,500,1,1.08987
481,533,1,1.11675
481,534,1,1.12778
481,536,1,1.13758
481,613,1,1.07239
481,285,1,1.04601
481,131,1,1.11127
482,500,1,1.14871
482,216,1,1.32915
482,613,1,1.13126
482,538,1,1.11098
482,507,1,1.13802
483,198,1,1.10993
483,497,1,1.09714
483,500,1,1.09733
483,588,1,1.19155
483,613,1,1.1542
483,506,1,1.1621
483,131,1,1.13128
363,231,1,1.13123
363,236,1,1.19429
363,127,1,1.1151
363,241,1,1.28411
484,500,1,1.19301
484,216,1,1.33998
484,613,1,1.13854
484,507,1,1.13129
364,231,1,1.21427
364,247,1,1.55605
364,127,2,1.05319
365,231,1,1.09467
365,127,1,1.07495
366,231,2,1.09337
366,127,1,1.14521
367,907,1,1.143
367,580,1,1.16611
367,131,1,1.28575
367,670,1,1.24227
367,561,1,1.09833
367,475,1,1.1253
367,244,1,1.20726
367,575,1,1.06647
367,872,1,1.05196
367,620,4,1.27998
367,566,1,1.173
367,555,1,1.09534
367,579,1,1.11924
367,656,1,1.11922
367,119,2,1.06476
367,559,1,1.16645
367,878,1,1.04626
367,858,1,1.07182
920,931,1,1.31291
800,620,1,1.50857
921,620,1,1.4488
921,955,1,1.18433
922,131,1,1.13502
802,620,1,1.61073
804,846,1,1.1913
927,651,1,3.51232
807,620,1,1.4482
809,620,2,1.5655
254,131,1,1.16494
496,475,1,1.25801
255,116,1,1.11965
256,116,1,1.13215
256,129,1,1.302
498,297,1,1.28582
257,116,1,1.07028
257,149,1,1.3464
257,131,1,1.10836
499,509,1,1.20265
258,121,1,1.23848
258,125,1,1.30485
258,127,1,1.12752
258,118,1,1.09583
379,127,1,1.09178
259,127,1,1.13614
259,116,1,1.12317
259,118,1,1.10059
810,620,1,1.59081
812,692,1,1.3661
937,651,1,2.74381
819,880,1,1.35822
819,808,1,1.15735
819,882,1,1.10269
819,620,5,1.49681
819,799,1,1.10376
819,118,1,1.07154
819,119,1,1.19527
819,803,1,1.12391
819,916,2,1.11328
819,670,3,1.34947
819,131,1,1.23513
1010,127,1,1.15151
260,154,1,1.0792
260,149,1,1.27923
260,127,1,1.15197
261,124,1,1.32518
262,116,1,1.08973
383,231,1,1.15475
263,154,1,1.08109
263,116,1,1.05891
263,151,1,1.26802
263,131,1,1.0906
264,154,1,1.18044
